Serial,100,1,1
Parallel,100,2,89
Parallel,100,3,49.9999
Parallel,100,4,83.9999
Parallel,100,5,86
Parallel,100,6,99.9998
Parallel,100,7,108
Parallel,100,8,83.9999
Serial,1000,1,6
Parallel,1000,2,68.0001
Parallel,1000,3,54.0002
Parallel,1000,4,67
Parallel,1000,5,63
Parallel,1000,6,82.9999
Parallel,1000,7,71.9998
Parallel,1000,8,96
Serial,10000,1,60
Parallel,10000,2,85.0002
Parallel,10000,3,80.0001
Parallel,10000,4,171
Parallel,10000,5,117
Parallel,10000,6,236
Parallel,10000,7,127
Parallel,10000,8,151
Serial,100000,1,516
Parallel,100000,2,227
Parallel,100000,3,145
Parallel,100000,4,144
Parallel,100000,5,144
Parallel,100000,6,161
Parallel,100000,7,166
Parallel,100000,8,186
Serial,1000000,1,3235
Parallel,1000000,2,907
Parallel,1000000,3,609
Parallel,1000000,4,480
Parallel,1000000,5,604
Parallel,1000000,6,509
Parallel,1000000,7,490
Parallel,1000000,8,488
Serial,10000000,1,24683
Parallel,10000000,2,6762
Parallel,10000000,3,5085
Parallel,10000000,4,4722
Parallel,10000000,5,5638
Parallel,10000000,6,4987
Parallel,10000000,7,5000
Parallel,10000000,8,5183
